"model","accuracy","sensitivity","specificity","precision","recall","f1_score","auc"
"Full Logistic Regression",0.835187680461983,0.849053949497081,0.818421500255145,0.84971138955371,0.849053949497081,0.849382542307286,0.907895980345851
"Stepwise Selected Logistic Regression",0.835187680461983,0.849053949497081,0.818421500255145,0.84971138955371,0.849053949497081,0.849382542307286,0.907895980345851
