"term","odds_ratio","conf_low","conf_high","p.value"
"checkin_service",1.63598713553785,1.60096386348695,1.67184973169134,0
"inflight_entertainment",1.91989299944079,1.86843787920386,1.97288222482609,0
"customer_typeLoyal Customer",6.37801272101162,6.04517668682828,6.73027813301433,0
"ease_of_online_booking",1.59797730507595,1.55432561438776,1.64292251480888,6.41940744751471e-241
"classEco",0.491140934140786,0.469198771720309,0.514087504705853,2.18915904629179e-204
"type_of_travelPersonal Travel",0.467506744942471,0.444675909352783,0.491488600001911,7.59191129361126e-195
"smooth_process_score",0.274160500352433,0.251317529126094,0.299038674018123,3.75811999610755e-187
"gate_location",1.40915420237285,1.37428934462943,1.44495594406615,2.20317444781107e-158
"online_boarding",1.42949263971166,1.39215466497649,1.46786897805146,3.77648188277589e-154
"baggage_handling",1.35597802027626,1.32244594387993,1.39039833701595,1.90590850185261e-125
"classEco Plus",0.474714076936244,0.442531958329981,0.509193623965642,3.20813568511077e-96
"flight_distance",0.999823149596133,0.999804770598277,0.999841513894845,2.17634597936204e-79
"food_and_drink",0.764350156731201,0.742632447492296,0.786674983572633,1.10728756680179e-74
"on_board_service",1.27447065181908,1.23710598688354,1.312987038743,2.05109371780072e-57
"seat_comfort",1.23269458581795,1.19788862229276,1.26855037786147,1.93957532880858e-46
"age",0.991223994782156,0.990025017718358,0.992423111390407,2.81748341042529e-46
"leg_room_service",1.18555954260127,1.1544688631748,1.21749294678959,3.81955248149802e-36
"inflight_wifi_service",0.850702192582351,0.827921436660011,0.874089148075543,1.60103746614735e-31
"arrival_delay_capped",0.990653664917747,0.98898656530767,0.992322053979597,8.03551487119475e-28
"overall_experience_score",1.70349846190697,1.44412547776567,2.00957569325619,2.62203662893242e-10
"departure_delay_capped",1.00289482523837,1.00118779270107,1.00460511398042,0.000882707226217998
"online_support",1.03944948464896,1.01179372078229,1.0678526069503,0.00491419994189039
